"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","Case_Type","US State Abbreviation","State/Province/County"
"","Thailand","15","101","0","0","0","0","2","2","5","5","5","5","5","5","5","5","5","5","5","10","10","10","10","10","12","12","12","14","15","15","15","15","17","17","21","21","22","22","22","28","28","28","31","31","31","31","31","31","31","31","33","34","34","35","35","35","35","41","42","42","42","42","44","Recovered",,""
"","Japan","36","138","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","9","9","9","9","12","12","12","13","18","18","22","22","22","22","22","22","22","22","32","32","32","43","43","43","46","76","76","76","101","118","118","118","118","118","144","144","144","150","191","232","235","Recovered",,""
"","Singapore","1.2833","103.8333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","9","15","15","17","18","18","24","29","34","34","37","37","51","51","53","62","62","62","72","72","78","78","78","78","78","78","78","78","78","96","96","97","105","105","109","114","114","114","124","140","144","Recovered",,""
"","Nepal","28.1667","84.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Recovered",,""
"","Malaysia","2.5","112.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","3","3","3","3","7","7","7","13","15","15","15","15","15","18","18","18","18","18","18","18","18","22","22","22","22","23","24","24","24","26","26","26","35","42","42","49","60","75","87","114","139","Recovered",,""
"British Columbia","Canada","49.2827","-123.1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Recovered",,"British Columbia"
"New South Wales","Australia","-33.8688","151.2093","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Recovered",,"New South Wales"
"Victoria","Australia","-37.8136","144.9631","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","70","Recovered",,"Victoria"
"Queensland","Australia","-28.0167","153.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","Recovered",,"Queensland"
"","Cambodia","11.55","104.9167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Recovered",,""
"","Sri Lanka","7","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","3","Recovered",,""
"","Germany","51","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","12","12","12","14","14","14","14","14","15","16","16","16","16","16","16","16","16","17","18","18","18","18","25","25","46","46","46","67","67","105","113","180","233","266","Recovered",,""
"","Finland","64","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","10","10","10","10","10","10","10","Recovered",,""
"","United Arab Emirates","24","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","7","7","7","12","17","17","17","17","23","23","23","26","31","31","38","38","Recovered",,""
"","Philippines","13","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","5","5","8","8","13","17","Recovered",,""
"","India","21","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","13","13","14","14","15","20","23","27","Recovered",,""
"","Italy","43","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","3","45","46","46","83","149","160","276","414","523","589","622","724","724","1045","1045","1439","1966","2335","2749","2941","4025","4440","4440","6072","7024","Recovered",,""
"","Sweden","63","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","16","16","16","16","Recovered",,""
"","Spain","40","-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","30","30","32","32","183","183","193","517","517","530","1028","1081","1107","1588","2125","2575","Recovered",,""
"South Australia","Australia","-34.9285","138.6007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","Recovered",,"South Australia"
"","Belgium","50.8333","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","31","31","1","263","263","Recovered",,""
"","Egypt","26","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","27","27","27","27","21","27","32","32","32","39","41","56","Recovered",,""
"From Diamond Princess","Australia","35.4437","139.638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Recovered",,"From Diamond Princess"
"","Lebanon","33.8547","35.8623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","4","4","4","8","Recovered",,""
"","Iraq","33","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","15","15","24","26","26","26","32","43","43","49","51","57","Recovered",,""
"","Oman","21","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","2","2","2","2","2","2","9","9","9","9","9","9","9","9","12","12","12","12","17","Recovered",,""
"","Afghanistan","33","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","Recovered",,""
"","Bahrain","26.0275","50.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","14","22","35","35","44","44","60","77","81","88","100","100","125","149","Recovered",,""
"","Kuwait","29.5","47.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","5","5","5","5","9","9","15","18","18","27","27","Recovered",,""
"","Algeria","28.0339","1.6596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","12","12","12","12","12","32","32","32","65","Recovered",,""
"","Croatia","45.1","15.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","4","4","5","5","5","5","Recovered",,""
"","Switzerland","46.8182","8.2275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","15","15","15","15","131","Recovered",,""
"","Austria","47.5162","14.5501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","4","6","6","6","6","1","9","9","9","9","9","Recovered",,""
